Survey year,Household module,Family module,Sample Child module,Sample Adult module
1997,91.8,90.3,84.1,80.4
1998,90.0,88.2,82.4,73.9
1999,87.6,86.1,78.2,69.6
2000,88.9,87.3,79.4,72.1
2001,88.9,87.6,80.6,73.8
2002,89.6,88.1,81.3,74.3
2003,89.2,87.9,81.1,74.2
2004,86.9,86.5,79.4,72.5
2005,86.5,86.1,77.5,69.0
2006,87.3,87.0,78.8,70.8
2007,87.1,86.6,76.5,67.8
2008,84.9,84.5,72.3,62.6
2009,82.2,81.6,73.4,65.4
2010,79.5,78.7,70.7,60.8
2011,82.0,81.3,74.6,66.3
2012,77.6,76.8,69.7,61.2
2013,75.7,74.9,69.0,61.2
2014,73.8,73.1,66.6,58.9
2015,70.1,69.3,63.4,55.2
2016,67.9,67.1,61.9,54.3
2017,66.5,65.7,60.6,53.0
2018,64.2,63.4,59.2,53.1
2019,61.1,,59.1,59.1
2020,50.7,,47.8,48.9
2021,52.8,,49.9,50.9
2022,49.6,,45.8,47.7
2023,48.8,,44.9,47.0
