Year,Response Rate,Refusal,Unable to Locate,No One Home,Temporarily Absent,Language Problem,Insufficient Data,Contact Attempts Halted,Other
2023,84.7,8.9,0.1,1.9,0.1,0.3,0.7,2.1,1.2
2022,84.4,9,0.1,1.8,0.1,0.2,0.7,1,2.7
2021,85.3,8.6,0.1,1.9,0.1,0.2,0.7,1.3,1.7
2020,71.2,8,0.2,1.7,0.1,0.2,0.4,1.3,16.9
2019,86,4.7,0.1,1.2,0.1,0.2,0.5,1.1,6.1
2018,92,3.8,0.1,1.2,0.1,0.1,0.4,0.9,1.4
2017,93.7,2.7,0,0.9,0.1,0.1,0.4,1.1,0.9
2016,94.7,2.1,0,0.9,0.1,0.1,0.3,1.1,0.7
2015,95.8,2,0,0.9,0.1,0.1,0.3,,0.8
2014,96.7,1.6,0,0.7,0.1,0,0.3,,0.6
2013,89.9,1.3,0,0.6,0.1,0,0.2,,7.9
2012,97.3,1.2,0,0.6,0.1,0,0.2,,0.5
2011,97.6,1.1,0,0.6,0.1,0,0.2,,0.4
2010,97.5,1.1,0,0.6,0.1,0,0.2,,0.4
2009,98,0.8,0,0.6,0.1,0,0.2,,0.3
2008,97.9,0.8,0,0.6,0.1,0,0.2,,0.3
2007,97.7,0.9,0.2,0.5,0.1,0,0.4,,0.2
2006,97.5,1,0.3,0.5,0.1,0,0.4,,0.3
2005,97.3,1,0.4,0.5,0.1,0,0.3,,0.3
2004,93.1,1,0.3,0.5,0.1,0,0.4,,4.7
2003,96.7,1.7,0.3,0.6,0.1,0,0.3,,0.2
2002,97.7,1,0,0.5,0.1,0,0.4,,0.2
2001,96.7,1.3,0,0.7,0.1,0,0.7,,0.4
2000,95.1,1.7,0,1.1,0.2,0.1,1,,0.8
