Series id,Year,Period,Value
LNU09300000,1994,M01,93.5
LNU09300001,1994,M02,93.1
LNU09300002,1994,M03,92.7
LNU09300003,1994,M04,93.6
LNU09300004,1994,M05,94
LNU09300005,1994,M06,94.1
LNU09300006,1994,M07,94.3
LNU09300007,1994,M08,94.2
LNU09300008,1994,M09,94.3
LNU09300009,1994,M10,94.1
LNU09300010,1994,M11,94.2
LNU09300011,1994,M12,93.5
LNU09300012,1994,M13,93.8
LNU09300013,1995,M01,93.8
LNU09300014,1995,M02,93.3
LNU09300015,1995,M03,93
LNU09300016,1995,M04,92.9
LNU09300017,1995,M05,93.5
LNU09300018,1995,M06,93.4
LNU09300019,1995,M07,93.5
LNU09300020,1995,M08,93.7
LNU09300021,1995,M09,93.4
LNU09300022,1995,M10,93.5
LNU09300023,1995,M11,92.8
LNU09300024,1995,M12,90.8
LNU09300025,1995,M13,93.1
LNU09300026,1996,M01,92.6
LNU09300027,1996,M02,92
LNU09300028,1996,M03,92.2
LNU09300029,1996,M04,93.1
LNU09300030,1996,M05,93.1
LNU09300031,1996,M06,93.6
LNU09300032,1996,M07,93.8
LNU09300033,1996,M08,94
LNU09300034,1996,M09,94.2
LNU09300035,1996,M10,94.1
LNU09300036,1996,M11,94.1
LNU09300037,1996,M12,94.2
LNU09300038,1996,M13,93.4
LNU09300039,1997,M01,93.7
LNU09300040,1997,M02,92.7
LNU09300041,1997,M03,92.8
LNU09300042,1997,M04,93.1
LNU09300043,1997,M05,93.4
LNU09300044,1997,M06,93.6
LNU09300045,1997,M07,93.3
LNU09300046,1997,M08,93.6
LNU09300047,1997,M09,93.9
LNU09300048,1997,M10,93.7
LNU09300049,1997,M11,93.9
LNU09300050,1997,M12,92.5
LNU09300051,1997,M13,93.4
LNU09300052,1998,M01,93.4
LNU09300053,1998,M02,92.6
LNU09300054,1998,M03,92.2
LNU09300055,1998,M04,93
LNU09300056,1998,M05,93.3
LNU09300057,1998,M06,93.3
LNU09300058,1998,M07,93.4
LNU09300059,1998,M08,93.2
LNU09300060,1998,M09,93.5
LNU09300061,1998,M10,93.6
LNU09300062,1998,M11,93.7
LNU09300063,1998,M12,93.1
LNU09300064,1998,M13,93.2
LNU09300065,1999,M01,92.9
LNU09300066,1999,M02,92.5
LNU09300067,1999,M03,92.1
LNU09300068,1999,M04,92.5
LNU09300069,1999,M05,92.9
LNU09300070,1999,M06,93.1
LNU09300071,1999,M07,92.8
LNU09300072,1999,M08,93.5
LNU09300073,1999,M09,93.9
LNU09300074,1999,M10,93.6
LNU09300075,1999,M11,93.9
LNU09300076,1999,M12,92.8
LNU09300077,1999,M13,93
LNU09300078,2000,M01,93.3
LNU09300079,2000,M02,93.3
LNU09300080,2000,M03,93
LNU09300081,2000,M04,93.5
LNU09300082,2000,M05,93.6
LNU09300083,2000,M06,92.9
LNU09300084,2000,M07,92.7
LNU09300085,2000,M08,93
LNU09300086,2000,M09,93.1
LNU09300087,2000,M10,93.2
LNU09300088,2000,M11,92.5
LNU09300089,2000,M12,93
LNU09300090,2000,M13,93.1
LNU09300091,2001,M01,93
LNU09300092,2001,M02,92.7
LNU09300093,2001,M03,92
LNU09300094,2001,M04,92.2
LNU09300095,2001,M05,92.3
LNU09300096,2001,M06,92.4
LNU09300097,2001,M07,92.6
LNU09300098,2001,M08,92.9
LNU09300099,2001,M09,93.5
LNU09300100,2001,M10,93.3
LNU09300101,2001,M11,93
LNU09300102,2001,M12,92.9
LNU09300103,2001,M13,92.8
LNU09300104,2002,M01,92.9
LNU09300105,2002,M02,92.2
LNU09300106,2002,M03,91.7
LNU09300107,2002,M04,92.7
LNU09300108,2002,M05,92.6
LNU09300109,2002,M06,92.8
LNU09300110,2002,M07,92.9
LNU09300111,2002,M08,93.1
LNU09300112,2002,M09,93.4
LNU09300113,2002,M10,93.4
LNU09300114,2002,M11,93.4
LNU09300115,2002,M12,93
LNU09300116,2002,M13,92.8
LNU09300117,2003,M01,92.7
LNU09300118,2003,M02,92.4
LNU09300119,2003,M03,92.2
LNU09300120,2003,M04,93.1
LNU09300121,2003,M05,93.2
LNU09300122,2003,M06,92.9
LNU09300123,2003,M07,92.9
LNU09300124,2003,M08,92.9
LNU09300125,2003,M09,93.4
LNU09300126,2003,M10,92.7
LNU09300127,2003,M11,92.7
LNU09300128,2003,M12,91.9
LNU09300129,2003,M13,92.8
LNU09300130,2004,M01,92.2
LNU09300131,2004,M02,92.2
LNU09300132,2004,M03,91.3
LNU09300133,2004,M04,92.3
LNU09300134,2004,M05,92.2
LNU09300135,2004,M06,92.4
LNU09300136,2004,M07,92.3
LNU09300137,2004,M08,92.5
LNU09300138,2004,M09,92.4
LNU09300139,2004,M10,92.3
LNU09300140,2004,M11,92.3
LNU09300141,2004,M12,91.6
LNU09300142,2004,M13,92.2
LNU09300143,2005,M01,91.8
LNU09300144,2005,M02,90.9
LNU09300145,2005,M03,90.5
LNU09300146,2005,M04,91.8
LNU09300147,2005,M05,92
