survey,year,value
meps,1996,83.1
meps,1997,83
meps,1998,82.1
meps,1999,80.3
meps,2000,81.2
meps,2001,81.2
meps,2002,80.5
meps,2003,79.8
meps,2004,77.9
meps,2005,79
meps,2006,76.1
meps,2007,76.5
meps,2008,77.7
meps,2009,74.8
meps,2010,73.5
meps,2011,78.2
meps,2012,78.2
meps,2013,74.2
meps,2014,71.8
meps,2015,73.37
meps,2016,74.44
meps,2017,72.54
meps,2018,72.88
meps,2019,66.72
nsduh,1999,90.1
nsduh,2000,93
nsduh,2001,91.8
nsduh,2002,90.8
nsduh,2003,91
nsduh,2004,91.3
nsduh,2005,91.3
nsduh,2006,90.2
nsduh,2007,88.8
nsduh,2008,88.8
nsduh,2009,88.6
nsduh,2010,88.3
nsduh,2011,87
nsduh,2012,86.2
nsduh,2013,84.4
nsduh,2014,82.6
nsduh,2015,79.97
nsduh,2016,78.8
nsduh,2017,74.92
nsduh,2018,73.34
nsduh,2019,70.41
nsduh,2020,16.96
nsduh,2021,21.61
nsduh,2022,25.16
nhis,1997,91.8
nhis,1998,90
nhis,1999,87.6
nhis,2000,88.9
nhis,2001,88.9
nhis,2002,89.6
nhis,2003,89.2
nhis,2004,86.9
nhis,2005,86.5
nhis,2006,87.3
nhis,2007,87.1
nhis,2008,84.9
nhis,2009,82.2
nhis,2010,79.5
nhis,2011,82
nhis,2012,77.6
nhis,2013,75.7
nhis,2014,73.8
nhis,2015,70.1
nhis,2016,67.9
nhis,2017,66.5
nhis,2018,64.2
nhis,2019,61.1
nhis,2020,50.7
nhis,2021,52.8
nhis,2022,49.6
nhis,2023,48.8
nhanes,2000,81.9
nhanes,2002,83.9
nhanes,2004,79.3
nhanes,2006,80.5
nhanes,2008,78.4
nhanes,2010,79.4
nhanes,2012,72.6
nhanes,2014,71
nhanes,2016,61.3
nhanes,2018,51.9
nhanes,2020,51
nhanes,2023,34.5
cps,1994,93.8
cps,1995,93.1
cps,1996,93.4
cps,1997,93.4
cps,1998,93.2
cps,1999,93
cps,2000,93.1
cps,2001,92.8
cps,2002,92.8
cps,2003,92.8
cps,2004,92.2
cps,2005,91.8
cps,2006,91.7
cps,2007,91.5
cps,2008,91.7
cps,2009,92.4
cps,2010,92
cps,2011,91.1
cps,2012,90.4
cps,2013,89.8
cps,2014,88.9
cps,2015,87.2
cps,2016,86.7
cps,2017,85.8
cps,2018,84.4
cps,2019,82.7
cps,2020,74.3
cps,2021,76.5
cps,2022,72.9
cps,2023,70.3
nis,1995,96.4
nis,1996,96.8
nis,1997,97.9
nis,1998,97.8
nis,1999,97
nis,2000,96
nis,2001,96.2
nis,2002,96.6
nis,2003,94
nis,2004,94.8
nis,2005,92.8
nis,2006,90.5
nis,2007,90.2
nis,2008,90.3
nis,2009,92.4
nis,2010,91.5
nis,2011,90.7
nis,2012,90.7
nis,2013,91
nis,2014,92.2
acs,2023,84.7
acs,2022,84.4
acs,2021,85.3
acs,2020,71.2
acs,2019,86
acs,2018,92
acs,2017,93.7
acs,2016,94.7
acs,2015,95.8
acs,2014,96.7
acs,2013,89.9
acs,2012,97.3
acs,2011,97.6
acs,2010,97.5
acs,2009,98
acs,2008,97.9
acs,2007,97.7
acs,2006,97.5
acs,2005,97.3
acs,2004,93.1
acs,2003,96.7
acs,2002,97.7
acs,2001,96.7
acs,2000,95.1
gss,1975,75.6
gss,1976,75.1
gss,1977,76.5
gss,1978,73.5
gss,1980,75.9
gss,1982,77.5
gss,1983,79.4
gss,1984,78.60000000000001
gss,1985,78.7
gss,1986,75.6
gss,1987,75.4
gss,1988,77.3
gss,1989,77.60000000000001
gss,1990,73.9
gss,1991,77.8
gss,1993,82.39999999999999
gss,1994,77.8
gss,1996,76.1
gss,1998,75.6
gss,2000,70
gss,2002,70.1
gss,2004,70.39999999999999
gss,2006,71.2
gss,2008,70.39999999999999
gss,2010,70.3
gss,2012,71.39999999999999
gss,2014,69.19999999999999
gss,2016,61.3
gss,2018,59.5
gss,2021,17.3
gss,2022,49.2
